"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE LONQUIMAY","MU150","9,50","2014"
"MUNICIPALIDAD DE LONCOCHE","MU148","88,60","2014"
"MUNICIPALIDAD DE LOS SAUCES","MU156","4,75","2014"
"MUNICIPALIDAD DE LUMACO","MU159","15,20","2014"
"MUNICIPALIDAD DE RINCONADA","MU269","33,35","2014"
"MUNICIPALIDAD DE RÍO IBÁÑEZ","MU273","90,80","2014"
"MUNICIPALIDAD DE LOS ALAMOS","MU151","73,99","2014"
"MUNICIPALIDAD DE O'HIGGINS","MU187","45,60","2014"
"MUNICIPALIDAD DE PUERTO AYSÉN","MU013","20,90","2014"
"MUNICIPALIDAD DE VILLA ALEMANA","MU338","100,00","2014"
"MUNICIPALIDAD DE VILCÚN","MU336","10,45","2014"
"MUNICIPALIDAD DE QUILPUÉ","MU254","92,40","2014"
"MUNICIPALIDAD DE QUILLOTA","MU253","58,20","2014"
"MUNICIPALIDAD DE QUILLÓN","MU252","5,70","2014"
"MUNICIPALIDAD DE CURACAUTÍN","MU072","6,65","2014"
"MUNICIPALIDAD DE CURARREHUE","MU076","10,45","2014"
"MUNICIPALIDAD DE ERCILLA","MU088","6,65","2014"
"MUNICIPALIDAD DE FREIRE","MU091","11,40","2014"
"MUNICIPALIDAD DE GALVARINO","MU097","12,35","2014"
"MUNICIPALIDAD DE GORBEA","MU099","15,20","2014"
"MUNICIPALIDAD DE LAUTARO","MU136","69,35","2014"
"MUNICIPALIDAD DE LOS ANGELES","MU153","30,40","2014"
"MUNICIPALIDAD DE QUILACO","MU249","5,70","2014"
