region,cut_com,commune,forms,news,search,webmap,streetmap,transport,socialmedia,email,phone,mobile,transac,followup,digital_certificate,citizen,payments,personalization,part
LIBERTADOR BERNARDO O'HIGGINS,6107,LAS CABRAS,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6203,LITUECHE,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6304,LOLOL,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6108,MACHALI,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6109,MALLOA,,,,,,,,,,,,,,,,,
LIBERTADOR BERNARDO O'HIGGINS,6204,MARCHIGUE,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6110,MOSTAZAL,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6305,NANCAGUA,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6205,NAVIDAD,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6111,OLIVAR,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0
LIBERTADOR BERNARDO O'HIGGINS,6306,PALMILLA,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6206,PAREDONES,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0
LIBERTADOR BERNARDO O'HIGGINS,6307,PERALILLO,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
LIBERTADOR BERNARDO O'HIGGINS,6112,PEUMO,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6113,PICHIDEGUA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LIBERTADOR BERNARDO O'HIGGINS,6201,PICHILEMU,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6308,PLACILLA,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6309,PUMANQUE,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6114,QUINTA DE TILCOCO,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6101,RANCAGUA,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6115,RENGO,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6116,REQUINOA,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6301,SAN FERNANDO,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0
LIBERTADOR BERNARDO O'HIGGINS,6310,SANTA CRUZ,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
LIBERTADOR BERNARDO O'HIGGINS,6117,SAN VICENTE,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
MAULE,7201,CAUQUENES,,,,,,,,,,,,,,,,,
MAULE,7202,CHANCO,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
