cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
6108,MACHALÍ,2076536,4184683,6276275,30,50.83,500,1,1,22.58,41938,58398,1001,51504
6109,MALLOA,2110244,485239,1148555,0,0,99,0,0,124.61,10977,14081,7949,5458
6110,MOSTAZAL,,,,29.55,39.39,426,1,1,51.72,20272,27100,4389,20954
6111,OLIVAR,1668865,874077,1208564,41.67,37.5,136,1,1,321.78,10925,14480,4320,9288
6112,PEUMO,1955796,656521,934352,31.11,44.44,157,0,0,97.27,11485,14882,2313,12000
6113,PICHIDEGUA,2799671,800339,1135938,32.08,52.83,557,1,0,64.32,16005,20581,10411,9303
6114,QUINTA DE TILCOCO,1761981,575536,795110,29.03,51.61,203,1,1,147.6,10648,13727,5724,7278
6115,RENGO,5568938,2671065,3620823,28.57,50,1521,1,1,106.35,47522,62958,12879,45946
6116,REQUINOA,1942007,2464442,3144908,41.25,57.5,668,1,1,44.46,22336,29922,11685,16283
6117,SAN VICENTE,5135390,2338519,3818674,25.58,44.19,338,1,1,105.08,38623,50016,20557,26209
6201,PICHILEMU,9024703,1124867,2060107,31.78,47.66,366,1,1,23.48,13696,17584,3491,12903
6202,LA ESTRELLA,1359003,1048001,1294317,37.21,62.79,53,1,1,7.14,2517,3107,1908,1133
6203,LITUECHE,1443584,542406,1043010,29.27,46.34,83,1,1,10.81,5344,6694,2926,3368
6204,MARCHIHUE,1622231,614566,937005,29.63,51.85,123,1,0,11.49,6033,7581,3987,3321
6205,NAVIDAD,5552847,202309,467133,100,40,205,,,22.73,5563,6818,6641,0
6206,PAREDONES,2846445,144155,271448,35.42,52.08,296,1,1,11.3,5181,6353,4346,1842
6301,SAN FERNANDO,5827790,4947878,7635728,35.09,41.23,1211,1,0,31.86,58581,77763,10261,63712
6302,CHÉPICA,2483650,418225,581766,37.93,58.62,158,1,1,31.44,12407,15816,6391,8646
6303,CHIMBARONGO,4290097,1368708,2208996,32.29,55.21,487,0,0,75.07,28586,37386,14913,20486
6304,LOLOL,1682720,477512,611117,37.5,53.13,171,1,1,12.11,5760,7227,4382,2429
6305,NANCAGUA,2142938,2292937,2641573,35.19,37.04,571,0,0,170.58,14493,18934,6493,11340
6306,PALMILLA,1736065,1167047,1434209,33.9,44.07,163,1,1,55.57,10336,13169,9018,3464
6307,PERALILLO,1807262,642840,1039267,27.78,37.04,144,1,1,41.43,9197,11725,4370,6637
6308,PLACILLA,1678444,469809,679608,55.88,41.18,148,0,0,61.86,7079,9093,6363,2375
6309,PUMANQUE,1388524,321029,408903,30.43,69.57,119,1,0,8.01,2950,3531,3421,0
6310,SANTA CRUZ,3359622,2230768,3876642,32.35,45.1,965,1,1,96.6,31230,40574,15031,22824
7101,TALCA,16220494,12462288,19527672,27.82,40.85,830,1,0,1011.71,181577,234717,9441,210916
7102,CONSTITUCIÓN,9034421,2191087,3525386,29,51,437,1,1,37.31,37317,50148,8795,37273
7103,CUREPTO,1995054,322691,484934,25.76,51.52,419,1,0,8.82,7741,9477,6059,3389
7104,EMPEDRADO,1995069,151504,233815,42.86,46.43,64,1,0,7.44,3211,4204,1134,3008
7105,MAULE,4789768,1271341,1726160,16.28,51.16,387,0,0,241.37,40451,57447,10887,38834
7106,PELARCO,1586529,2794310,3118313,29.09,41.82,130,0,0,27.05,6969,8979,5835,2587
7107,PENCAHUE,1533247,1534224,1790691,25.45,52.73,118,0,0,8.96,6743,8571,4807,3438
7108,RÍO CLARO,1857044,1554058,2485753,26.51,44.58,418,1,0,33.93,11389,14623,9493,4413
7109,SAN CLEMENTE,5892715,2046053,3021211,,,,,,10.16,34575,45755,21603,21666
7110,SAN RAFAEL,1746987,515274,801606,31.58,50,150,1,0,37.22,7361,9825,4223,4968
7201,CAUQUENES,6389286,1021963,2147595,31.09,44.54,385,1,0,20.68,33886,43962,7327,33114
7202,CHANCO,2410629,213028,403193,40.38,48.08,141,0,1,17.6,7270,9327,5007,3921
7203,PELLUHUE,5409780,403818,672696,46.55,60.34,220,1,1,21.52,6168,7983,3490,4081
7301,CURICÓ,11977979,9128887,13756727,20.86,48.13,,1,1,121.4,122465,161223,16567,132569
7302,HUALAÑÉ,2104960,590278,973764,34.85,48.48,177,1,1,16.21,8038,10196,3914,5743
7303,LICANTÉN,3250535,475972,766094,36.73,57.14,102,1,0,25.54,5461,6973,1688,4965
7304,MOLINA,5502611,1993246,2539557,37.04,52.78,778,1,1,31.64,37418,49109,8658,37318
7305,RAUCO,1858198,715181,847790,34.15,46.34,248,1,1,35.9,8573,11094,4953,5531
7306,ROMERAL,1713589,1695139,2281606,38.1,41.27,393,1,0,9.98,12204,15946,8658,6529
7307,SAGRADA FAMILIA,2477166,1598827,2315487,28.95,46.05,156,1,0,35.24,15075,19348,10658,7886
7308,TENO,2815699,1587491,2102795,33.72,55.81,551,1,1,49.38,23554,30519,19389,9532
7309,VICHUQUÉN,1458515,1489413,1748659,38.71,46.77,127,1,0,10.31,3534,4390,3132,1190
7401,LINARES,10189438,3695375,6347098,32.13,50.23,1163,1,1,68.27,75801,100077,15930,77672
7402,COLBÚN,3158193,1062039,1520305,29.23,50.77,413,0,0,7.68,16966,22279,11713,9052
7403,LONGAVÍ,4085549,670994,897995,26.25,37.5,1353,1,0,22.36,25133,32516,21287,9247
7404,PARRAL,5384859,1514270,2425848,26.61,36.7,374,1,1,26.97,33495,44172,10843,30794
7405,RETIRO,2943109,803561,1080256,21.43,51.79,420,0,0,25.29,16136,20913,12911,7063
7406,SAN JAVIER,5911902,1431524,2635940,33.58,47.76,367,1,0,37.19,36918,48830,12978,32569
7407,VILLA ALEGRE,2627840,473054,800949,26.09,57.97,120,1,1,91.26,13361,17339,6545,9676
7408,YERBAS BUENAS,2514850,882766,1038724,26.79,41.07,267,1,0,72.54,14396,19005,11894,6187
8101,CONCEPCIÓN,5785955,22929677,33286337,41.72,35.23,1828,1,1,1068.73,193317,237257,4517,219057
8102,CORONEL,12020703,6709372,8269484,31.37,42.07,1508,,,447.14,92881,124753,3188,113074
8103,CHIGUAYANTE,9647041,3415777,5178076,39.16,51.75,321,1,1,1261.32,70036,90815,75,85863
8104,FLORIDA,2709537,267201,441066,36.17,46.81,116,1,0,19.4,9476,11813,6064,4560
8105,HUALQUI,4456392,643941,869063,,,,0,0,48.96,19514,25997,3444,20889
8106,LOTA,7636046,854532,1592231,34.34,40.96,,,,336.7,35307,45791,108,43427
8107,PENCO,5296108,2053726,2839520,34.78,43.48,381,1,0,460.19,38171,49700,467,46900
8108,SAN PEDRO DE LA PAZ,5681227,9155604,12736732,42.45,46.23,295,1,1,1269.54,105729,143458,124,131684
8109,SANTA JUANA,3611445,311656,633189,41.54,46.15,651,1,1,20.14,11319,14723,4155,9594
8110,TALCAHUANO,7912057,12833158,19473230,28.14,47.49,2330,1,0,1719.6,123389,158203,1429,150320
8111,TOMÉ,9990046,1660908,2412705,26.63,39.13,776,1,1,118.21,45585,58516,5406,49540
8112,HUALPÉN,7074481,5010089,6514972,39.13,37.5,1075,1,0,1794.33,75571,96894,788,90985
8201,LEBU,4545984,493120,727657,29.51,45.9,626,1,1,48.2,20009,27042,2045,23477
8202,ARAUCO,5296602,1256122,2749063,34.27,51.05,1285,1,1,40.32,28952,38545,8937,27320
8203,CAÑETE,6033773,700346,1025686,72.53,43.96,246,1,1,48.45,27005,36822,15043,19494
8204,CONTULMO,2589997,138168,223699,38.89,55.56,72,1,1,6.56,4824,6313,2970,3061
8205,CURANILAHUE,4595407,665637,1220621,40.86,39.78,267,1,0,34.03,25399,33826,2114,30174
8206,LOS ÁLAMOS,3376789,354796,593863,34.33,46.27,239,1,0,37.35,16188,22374,2309,18726
8207,TIRÚA,2949190,124734,282770,34.69,53.06,125,1,1,17.59,7894,10975,6679,3738
8301,LOS ÁNGELES,16660980,10098069,15891690,36.26,41.34,3181,1,1,123.97,162003,216695,51244,151087
8302,ANTUCO,2527377,332404,403186,30.77,51.28,79,1,0,2.28,3345,4291,1996,2077
8303,CABRERO,5454740,1363138,2013571,30,52.22,174,1,1,47.76,23288,30564,7009,21564
8304,LAJA,3719280,765280,1220284,32.79,47.54,214,1,0,70.07,18009,23823,6167,16222
8305,MULCHÉN,4153686,1030998,1542062,34.83,32.58,249,1,0,16.09,23255,30973,5478,24149
8306,NACIMIENTO,3487675,1441505,1803564,47.25,54.95,326,1,1,29.82,20906,27880,3284,23031
8307,NEGRETE,2080592,438477,562179,34.04,46.81,101,0,0,66.06,7832,10372,3682,6055
8308,QUILACO,1446779,206225,256679,29.03,35.48,235,1,1,3.72,3337,4177,2118,1870
8309,QUILLECO,2139408,346022,470833,37.78,55.56,212,1,1,8.94,7823,10031,4001,5586
8310,SAN ROSENDO,1803350,66476,131293,45.16,48.39,58,1,0,39.34,2824,3619,505,2907
8311,SANTA BÁRBARA,2418162,781471,1004329,39.68,49.21,513,1,1,11.59,10997,14551,5787,7986
8312,TUCAPEL,2699582,645692,1006190,41.54,56.92,579,1,1,16.52,11628,15119,2247,11887
8313,YUMBEL,5559987,486252,1551143,28.74,40.23,284,1,0,30.36,17431,22072,8487,12711
8314,ALTO BIOBÍO,1984344,471218,533939,35.71,41.07,195,0,0,3.18,4602,6760,5923,0
9101,TEMUCO,22042212,17622755,29526211,23.13,36.77,2084,1,1,647.88,230999,300618,19250,263165
9102,CARAHUE,5524423,353129,666396,23.68,34.21,129,1,1,18.97,19190,25444,11280,13253
9103,CUNCO,3287524,751862,1141142,33.33,38.46,407,1,0,9.45,13952,18030,8679,8847
9104,CURARREHUE,2064523,123421,210587,35.9,56.41,158,1,0,6.63,5668,7767,5213,2276
9105,FREIRE,4457217,792643,1071296,29.55,38.64,433,1,1,27.16,19515,25391,16720,7886
9106,GALVARINO,2874045,194456,411051,,,,1,1,22.24,9357,12630,7847,4149
9107,GORBEA,2937486,468574,652564,30,34.29,276,0,1,21.79,11919,15144,4254,10160
9108,LAUTARO,4689264,2081579,3323721,16.83,38.61,157,0,1,44.81,29983,40376,10692,27321
9109,LONCOCHE,3814636,507848,1000130,27.47,35.16,769,1,1,25.27,18599,24684,7020,16592
9110,MELIPEUCO,2418777,109532,164428,,,,,,5.64,4802,6239,3331,2807
9111,NUEVA IMPERIAL,6292495,497250,1022568,16.1,41.53,410,1,1,45.86,25154,33614,13629,18881
9112,PADRE LAS CASAS,9570865,2013570,3175425,34.07,45.19,2482,1,1,202.25,59558,81101,30683,45443
9113,PERQUENCO,2479484,254729,437559,37.78,35.56,216,1,1,21.74,5392,7197,3341,3564
9114,PITRUFQUÉN,4148894,628884,970073,38.36,28.77,777,1,1,44.61,19858,25916,8306,16531
9115,PUCÓN,1960852,3236082,7421798,39.53,37.21,636,1,0,23.59,22033,29469,10169,18354
9116,SAAVEDRA,3988539,111372,196848,33.33,31.88,640,1,0,31.95,9643,12812,9721,2729
9117,TEODORO SCHMIDT,3434264,168099,299611,25,53.13,490,1,1,24.26,12155,15771,9642,5403
9118,TOLTÉN,2974639,188881,380352,22.41,44.83,588,1,1,11.72,7664,10075,5854,3868
9119,VILCÚN,4680158,1084524,1467839,26.58,43.04,381,1,1,21.29,22341,30253,12729,15422
9120,VILLARRICA,4788261,3705522,5345750,29.24,49.12,315,1,1,45.37,43753,58574,18998,36480
9121,CHOLCHOL,2842151,300156,395637,28.26,43.48,385,1,1,28.59,8973,12237,7255,4356
9201,ANGOL,7821165,1453915,2463254,28.57,42.86,771,1,1,46.7,41974,55761,4351,48911
9202,COLLIPULLI,3752344,1099530,1966327,34.85,45.45,950,1,1,20.06,19159,25996,6259,18339
9203,CURACAUTÍN,3804552,599508,819695,14.04,36.84,276,1,0,10.9,13938,18137,4575,12838
9204,ERCILLA,2232816,163347,439156,27.91,41.86,234,1,0,16.94,6202,8468,4093,3640
9205,LONQUIMAY,3070890,150849,327520,32.61,36.96,166,1,1,2.81,8183,11014,6464,3787
9206,LOS SAUCES,2271571,283557,402897,25,37.5,,1,0,8.84,5794,7516,2847,4418
9207,LUMACO,2611505,214550,303437,31.82,31.82,257,1,1,9,7570,10076,5515,4033
9208,PURÉN,3005719,175804,289638,36.47,34.12,189,1,1,26.22,9248,12192,4246,7533
9209,RENAICO,2257626,264652,961747,31.25,41.67,311,1,1,40.31,8110,10764,1898,8352
9210,TRAIGUÉN,3222864,566860,921677,45.71,52.86,277,1,1,21.26,14622,19306,4493,14350
9211,VICTORIA,4975279,1315727,2201777,16.24,40.17,800,1,1,28.18,27182,35393,9326,24856
10101,PUERTO MONTT,19616354,18868441,31244047,28.39,46.07,979,1,0,158.91,198858,265863,25759,220143
10102,CALBUCO,4116509,1631415,2720650,17.71,48.96,393,1,0,61.66,27643,36442,17989,15996
