"code","municipality","year","variable","value"
13116,"LO ESPEJO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",15139989000
13117,"LO PRADO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",29715836000
13118,"MACUL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",28288637000
13119,"MAIPÚ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",120427962000
13120,"ÑUÑOA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",50500846000
13121,"PEDRO AGUIRRE CERDA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",14725083000
13122,"PEÑALOLÉN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",50587144000
13123,"PROVIDENCIA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",115803680000
13124,"PUDAHUEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",53926440000
13125,"QUILICURA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",49611037000
13126,"QUINTA NORMAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",25816154000
13127,"RECOLETA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",32904080000
13128,"RENCA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",32086782000
13129,"SAN JOAQUÍN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",34296457000
13130,"SAN MIGUEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",24613425000
13131,"SAN RAMÓN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",12974798000
