"CUT_REG","REGION","CUT_PROV","PROVINCIA","CUT_COM","COMUNA","SUPERFICIE"
13,"Metropolitana de Santiago","131","Santiago","13128","Renca",23.68
13,"Metropolitana de Santiago","131","Santiago","13126","Quinta Normal",11.8
13,"Metropolitana de Santiago","131","Santiago","13107","Huechuraba",44.98
13,"Metropolitana de Santiago","131","Santiago","13104","Conchalí",10.94
13,"Metropolitana de Santiago","131","Santiago","13108","Independencia",7.35
13,"Metropolitana de Santiago","131","Santiago","13127","Recoleta",15.61
13,"Metropolitana de Santiago","131","Santiago","13132","Vitacura",28.59
13,"Metropolitana de Santiago","131","Santiago","13123","Providencia",14.44
13,"Metropolitana de Santiago","131","Santiago","13114","Las Condes",99.06
13,"Metropolitana de Santiago","131","Santiago","13120","Ñuñoa",16.89
13,"Metropolitana de Santiago","131","Santiago","13101","Santiago",23.18
13,"Metropolitana de Santiago","131","Santiago","13117","Lo Prado",6.54
13,"Metropolitana de Santiago","131","Santiago","13106","Estación Central",14.37
13,"Metropolitana de Santiago","131","Santiago","13119","Maipú",136.8
13,"Metropolitana de Santiago","131","Santiago","13121","Pedro Aguirre Cerda",8.73
13,"Metropolitana de Santiago","131","Santiago","13102","Cerrillos",16.82
13,"Metropolitana de Santiago","131","Santiago","13130","San Miguel",9.63
13,"Metropolitana de Santiago","131","Santiago","13129","San Joaquín",9.94
13,"Metropolitana de Santiago","131","Santiago","13118","Macul",12.81
13,"Metropolitana de Santiago","131","Santiago","13113","La Reina",23.39
13,"Metropolitana de Santiago","131","Santiago","13122","Peñalolén",53.89
13,"Metropolitana de Santiago","131","Santiago","13116","Lo Espejo",8.25
13,"Metropolitana de Santiago","131","Santiago","13109","La Cisterna",10.01
13,"Metropolitana de Santiago","131","Santiago","13111","La Granja",10.05
13,"Metropolitana de Santiago","131","Santiago","13131","San Ramón",6.31
13,"Metropolitana de Santiago","131","Santiago","13110","La Florida",71.04
13,"Metropolitana de Santiago","131","Santiago","13105","El Bosque",14.25
13,"Metropolitana de Santiago","131","Santiago","13112","La Pintana",30.47
13,"Metropolitana de Santiago","134","Maipo","13403","Calera de Tango",73.22
13,"Metropolitana de Santiago","132","Cordillera","13201","Puente Alto",88.39
13,"Metropolitana de Santiago","136","Talagante","13601","Talagante",125.23
13,"Metropolitana de Santiago","134","Maipo","13402","Buin",217.03
13,"Metropolitana de Santiago","134","Maipo","13401","San Bernardo",153.85
13,"Metropolitana de Santiago","136","Talagante","13604","Padre Hurtado",80.64
13,"Metropolitana de Santiago","136","Talagante","13605","Peñaflor",69.42
13,"Metropolitana de Santiago","136","Talagante","13602","El Monte",115.97
5,"Valparaíso","058","Marga Marga","05802","Limache",294.88
5,"Valparaíso","051","Valparaíso","05109","Viña del Mar",120.56
5,"Valparaíso","058","Marga Marga","05804","Villa Alemana",96.37
5,"Valparaíso","055","Quillota","05501","Quillota",301.24
16,"Ñuble","161","Diguillín","16103","Chillán Viejo",262.61
8,"Biobío","081","Concepción","08111","Tomé",494.32
8,"Biobío","081","Concepción","08107","Penco",108.38
8,"Biobío","081","Concepción","08101","Concepción",220.2
8,"Biobío","081","Concepción","08103","Chiguayante",71.4
8,"Biobío","081","Concepción","08112","Hualpén",53.77
8,"Biobío","081","Concepción","08108","San Pedro de la Paz",112.86
8,"Biobío","081","Concepción","08105","Hualqui",535.85
12,"Magallanes y de la Antártica Chilena","121","Magallanes","12103","Río Verde",9147.57
5,"Valparaíso","051","Valparaíso","05103","Concón",76.93
